Cusp_ID,Id,Cycloid_Nu,Confidence,CompassA,DirMean,CirVar,AveX,AveY,AveLen,Lat_dd,Long_dd
116,1,35,2,242.7004278,207.2995722,0,-4584284.113,-696894.98,7384.118001,-25.561,11.853
117,2,35,2,108.82471,341.17529,0,-4409764.597,-668849.0906,9839.674286,-24.533,18.255
117,2,35,2,232.1250163,217.8749837,0,-4419818.784,-669907.426,7240.12843,-24.571,17.886
118,1,36,1,105.9453959,344.0546041,0,4894198.227,278352.3177,9245.758051,10.21,-0.486
118,1,36,1,227.2025982,222.7974018,0,4884779.042,276764.8146,7788.658663,10.151,-0.832
119,1,37,1,53.61564818,36.38435182,0,2839056.029,727862.9368,9991.045399,26.697,-75.866
119,1,37,1,284.349332,165.650668,0,2830483.512,726063.7665,9394.776489,26.631,-76.181
120,1,38,1,313.5855768,136.4144232,0,2468318.916,1770815.04,37897.07823,64.952,-89.465
120,1,38,1,234.2933086,215.7066914,0,2476091.067,1750309.791,13033.44108,64.199,-89.18
121,1,39,1,210.379126,239.620874,0,2628226.788,1760066.321,22235.27897,64.557,-83.599
121,1,39,1,315.5256346,134.4743654,0,2625250.22,1782390.584,25491.95489,65.376,-83.709
122,2,39,1,224.3097228,225.6902772,0,2713058.989,1592717.028,19411.897,58.419,-80.488
122,2,39,1,306.0760116,143.9239884,0,2708263.406,1614379.831,28643.9527,59.214,-80.664
123,3,39,1,207.5820292,242.4179708,0,2782842.983,1429832.587,25000.20001,52.445,-77.928
123,3,39,1,306.7592882,143.2407118,0,2773582.547,1454471.959,34263.67404,53.348,-78.268
124,4,39,1,193.5704344,256.4295656,0,2854942.085,1274058.838,9866.619234,46.731,-75.284
124,4,39,1,306.326826,143.673174,0,2848162.124,1286957.302,13957.42571,47.204,-75.532
125,1,40,1,87.45519562,2.54480438,0,2687431.837,-1248514.575,9534.421835,-45.794,-81.428
125,1,40,1,211.5042667,238.4957333,0,2678118.485,-1252642.083,7696.07102,-45.946,-81.769
126,1,41,1,117.5528116,332.4471884,0,2414925.893,-1362418.203,5147.924249,-49.972,-91.423
126,1,41,1,7.00E-15,90,0,2411453.229,-1357358.037,4167.195834,-49.786,-91.55
127,2,41,1,125.1341931,324.8658069,0,2472076.007,-1408158.139,6551.456542,-51.65,-89.327
127,2,41,1,7.00E-15,90,0,2468603.344,-1402105.783,3968.757938,-51.428,-89.454
128,1,42,1,32.82854179,57.17145821,0,2056646.27,-1613243.705,9760.957342,-59.172,-104.564
128,1,42,1,256.4295656,193.5704344,0,2047782.71,-1620387.469,7893.295387,-59.434,-104.89
129,1,43,1,122.9052429,327.0947571,0,1033930.422,-931311.8724,16072.24468,-34.16,-142.077
129,1,43,1,7.943471811,82.05652819,0,1026389.782,-913650.8996,17230.99231,-33.512,-142.353
130,1,44,1,32.90524292,57.09475708,0,967574.9945,-1788916.365,26787.07446,-65.616,-144.51
130,1,44,1,145.7842979,304.2157021,0,1004947.465,-1471085.001,19997.53468,-53.958,-143.14
131,2,44,1,76.86597769,13.13402231,0,1015861.549,-1456532.888,20376.82272,-53.424,-142.739
131,2,44,1,132.5104471,317.4895529,0,1001309.437,-1561043.514,10767.78308,-57.257,-143.273
132,3,44,1,29.98163937,60.01836063,0,1002301.626,-1540207.535,19854.81095,-56.493,-143.237
132,3,44,1,138.0127875,311.9872125,0,980142.7279,-1710202.666,17798.05908,-62.728,-144.049
133,4,44,1,31.26373169,58.73626831,0,982457.8367,-1686390.119,21667.22144,-61.855,-143.965
133,4,44,1,154.8851651,295.1148349,0,966582.805,-1820004.969,23376.7741,-66.756,-144.547
134,1,45,1,9.637538113,80.36246189,0,884998.371,-1222243.878,21335.53476,-44.831,-147.539
134,1,45,1,257.6609127,192.3390873,0,867337.3981,-1239111.099,26000.66573,-45.449,-148.187
135,1,46,1,49.08561678,40.91438322,0,740919.2286,-1397861.417,21007.35886,-51.272,-152.824
135,1,46,1,268.72697,181.27303,0,715783.7617,-1408180.187,23818.42654,-51.651,-153.746
136,2,46,1,21.50143432,68.49856568,0,903373.7202,-1311077.91,37537.35469,-48.089,-146.865
136,2,46,1,266.0995063,183.9004937,0,879032.0049,-1332509.203,23337.43658,-48.875,-147.758
